"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Normal","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","50.4",""
"Normal","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.6",""
"Normal","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","38.0",""
"Normal","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","50.0",""
"Normal","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","50.4",""
"Normal","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","43.8",""
"Normal","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.3",""
"Normal","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.5",""
"Normal","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","43.0",""
"Normal","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.3",""
"Normal","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.7",""
"Normal","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","49.8",""
"Normal","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.7",""
"Normal","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","43.0",""
"Normal","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","50.0",""
"Normal","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.2",""
"Obese","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","Total","Total","15.4",""
"Obese","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","13.7",""
"Obese","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.4",""
"Obese","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.7",""
"Obese","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.4",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.4",""
"Obese","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","19.7",""
"Obese","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.2",""
"Obese","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.9",""
"Obese","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.2",""
"Obese","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.7",""
"Obese","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.0",""
"Obese","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","10.5",""
"Obese","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","13.9",""
"Obese","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","20.8",""
"Obese","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.6",""
"Obese","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","15.1",""
"Obese","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","20.6",""
"Obese","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","25.2",""
"Obese","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.9",""
"Obese","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.3",""
"Obese","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.7",""
"Obese","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.1",""
"Obese","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.1",""
"Obese","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.6",""
"Obese","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","15.9",""
"Obese","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","17.8",""
"Obese","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","13.4",""
"Obese","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","19.8",""
"Obese","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.1",""
"Obese","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.6",""
"Obese","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","19.9",""
